Date;Open;High;Low;Close
02.03.2023;35.4900;38.8600;35.1500;38.0500
02.02.2023;37.7400;38.2700;35.4900;35.4900
02.01.2023;37.2400;37.7400;35.9300;37.7400
01/30/2023;36.5000;37.2400;36.4100;37.2400
01/29/2023;38.4600;44.9100;38.4600;40.6200
01/28/2023;37.9800;40.0000;37.0000;38.4600
01/27/2023;36.4200;38.3900;34.3500;37.9800
01/26/2023;36.2400;39.0000;33.3200;36.4200
01/25/2023;38.6800;38.8700;35.3600;36.2400
01/24/2023;37.3100;38.6800;34.7100;38.6800
01/23/2023;35.6700;37.3100;33.9700;37.3100
01/22/2023;35.8900;38.7700;33.8000;35.6700
01/21/2023;34.3900;35.8900;34.3900;35.8900
01/20/2023;33.7300;34.3900;32.0500;34.3900
01/19/2023;32.9700;35.3900;32.9700;33.7300
01/18/2023;35.7900;35.7900;32.0000;32.9700
01/17/2023;35.8400;36.0200;35.4600;35.7900
01/16/2023;35.6100;37.2500;35.5000;35.8400
01/15/2023;36.4000;36.7200;33.2500;35.6100
01/14/2023;33.6100;38.9900;33.6100;36.4000
01/13/2023;35.5100;35.5100;33.1400;33.6100
01.12.2023;32.5900;34.5800;30.7700;32.7700
01.10.2023;32.7000;33.0500;32.5900;32.5900
01.09.2023;31.1600;33.3900;29.5600;31.7400
01.08.2023;30.5100;31.1600;30.5100;31.1600
01.07.2023;29.7800;30.7000;29.7800;30.5100
01.06.2023;29.8700;30.1700;28.8100;29.7800
01.05.2023;28.6700;30.0600;28.6700;29.8700
01.04.2023;30.1700;30.5200;28.6700;28.6700
01.03.2023;30.1600;38.0000;28.8400;30.1700
01.02.2023;29.2500;30.3700;27.3100;30.1600
01.01.2023;28.9400;29.2500;28.9400;29.2500
12/31/2022;28.8000;28.9400;27.4100;28.9400
12/30/2022;29.4900;29.4900;27.9100;28.8000
12/29/2022;30.2600;30.2600;29.4600;29.4900
12/28/2022;29.5200;30.3500;27.5900;30.2600
12/27/2022;29.8300;30.2000;29.5200;29.5200
12/26/2022;30.8500;30.8500;29.5900;29.8300
12/24/2022;30.2100;37.3700;30.2100;30.8500
12/23/2022;30.0600;30.0600;26.7500;29.9900
12/22/2022;30.0000;32.7800;27.0100;30.0600
12/21/2022;30.7600;31.3700;30.0000;30.0000
12/20/2022;30.4200;32.7700;29.8700;30.7600
12/19/2022;31.0500;36.2000;28.1200;30.4200
12/18/2022;30.6000;38.7400;30.6000;31.0500
12/17/2022;31.8300;32.9500;30.3100;30.6000
12/16/2022;33.9000;38.9200;31.8300;31.8300
12/15/2022;34.2600;34.2600;33.4400;33.9000
12/14/2022;32.6700;38.9200;31.4400;34.2600
12/13/2022;35.7900;35.7900;32.6700;32.6700
12.12.2022;34.3800;35.9800;33.7000;35.7900
12.10.2022;35.4900;35.4900;34.3800;34.3800
12.09.2022;36.1500;36.1500;35.0300;35.0300
12.08.2022;34.7000;36.1500;33.7500;36.1500
12.07.2022;35.7700;35.7700;34.4700;34.7000
12.06.2022;36.5700;36.5700;35.7700;35.7700
12.05.2022;35.3700;38.6700;35.3700;36.5700
12.04.2022;35.3600;36.1800;35.3600;35.3700
12.03.2022;36.1600;40.0000;33.4900;35.3600
12.02.2022;34.9200;36.4300;34.3400;36.1600
12.01.2022;35.9200;45.0000;34.0000;34.9200
