Unix;Date;Symbol;Open;High;Low;Close;Volume 1INCH;Volume BUSD;tradecount
1,67E+12;24.11.2022;1INCHBUSD;0.544;0.547;0.522;0.528;627532.6;334081.3225;2136
1,67E+12;23.11.2022;1INCHBUSD;0.536;0.546;0.527;0.544;509656.5;273819.0928;1880
1,67E+12;22.11.2022;1INCHBUSD;0.502;0.537;0.499;0.537;649479.7;335411.02;2592
1,67E+12;21.11.2022;1INCHBUSD;0.501;0.508;0.488;0.504;820686.6;410382.8427;3299
1,67E+12;20.11.2022;1INCHBUSD;0.536;0.54;0.501;0.503;509398.8;267879.358;2073
1,67E+12;19.11.2022;1INCHBUSD;0.528;0.545;0.518;0.536;743306.6;395748.0655;1814
1,67E+12;18.11.2022;1INCHBUSD;0.516;0.534;0.516;0.527;678074.0;356738.4947;1840
1,67E+12;17.11.2022;1INCHBUSD;0.521;0.525;0.504;0.515;1480142.5;762761.0547;3455
1,67E+12;16.11.2022;1INCHBUSD;0.532;0.544;0.513;0.522;966365.7;511261.9412;2692
1,67E+12;15.11.2022;1INCHBUSD;0.516;0.544;0.507;0.53;1189628.4;623964.1669;3789
1,67E+12;14.11.2022;1INCHBUSD;0.521;0.523;0.473;0.516;1881861.2;946284.2853;5069
1,67E+12;13.11.2022;1INCHBUSD;0.507;0.529;0.488;0.521;2568481.8;1312488.4145;7375
1,67E+12;12.11.2022;1INCHBUSD;0.558;0.559;0.497;0.507;1562564.6;800428.7661;4665
1,67E+12;11.11.2022;1INCHBUSD;0.568;0.568;0.538;0.558;1797815.7;991248.9037;5260
1,67E+12;10.11.2022;1INCHBUSD;0.525;0.573;0.519;0.568;2254604.0;1228686.8238;6773
1,67E+12;09.11.2022;1INCHBUSD;0.556;0.558;0.514;0.527;2417160.4;1294847.3316;6961
1,67E+12;08.11.2022;1INCHBUSD;0.634;0.64;0.517;0.556;2513621.0;1453533.8357;10476
1,67E+12;07.11.2022;1INCHBUSD;0.633;0.661;0.623;0.635;1424166.4;912337.7774;5627
1,67E+12;06.11.2022;1INCHBUSD;0.646;0.675;0.63;0.635;1967960.8;1297844.0934;6085
1,67E+12;05.11.2022;1INCHBUSD;0.653;0.665;0.631;0.645;1557306.4;1016146.1407;4281
1,67E+12;04.11.2022;1INCHBUSD;0.608;0.653;0.605;0.652;2582159.2;1638745.6612;6308
1,67E+12;03.11.2022;1INCHBUSD;0.59;0.7;0.589;0.608;1791090.5;1095015.7242;6636
1,67E+12;02.11.2022;1INCHBUSD;0.607;0.61;0.578;0.59;543436.0;324580.9704;3235
1,67E+12;01.11.2022;1INCHBUSD;0.612;0.625;0.605;0.607;429280.7;263548.7045;1466
1,67E+12;31.10.2022;1INCHBUSD;0.614;0.647;0.604;0.612;1522323.0;950278.0037;5832
1,67E+12;30.10.2022;1INCHBUSD;0.625;0.634;0.602;0.614;690505.0;425773.1244;3456
1,67E+12;29.10.2022;1INCHBUSD;0.614;0.636;0.61;0.626;931991.6;579635.1921;3552
1,67E+12;28.10.2022;1INCHBUSD;0.594;0.621;0.584;0.614;889400.7;536780.9959;3069
1,67E+12;27.10.2022;1INCHBUSD;0.611;0.622;0.592;0.595;1151615.6;698650.2457;3643
1,67E+12;26.10.2022;1INCHBUSD;0.584;0.618;0.583;0.61;2863706.0;1722970.4967;7516
1,67E+12;25.10.2022;1INCHBUSD;0.567;0.594;0.566;0.582;1727165.4;1000343.4672;4719
1,67E+12;24.10.2022;1INCHBUSD;0.58;0.584;0.561;0.567;1206118.0;686235.4917;3582
